,Movie Name,Rating
0,Guardians of the Galaxy,8.1
1,Interstellar,8.6
2,The Guest,6.7
3,Gone Girl,8.1
4,The Imitation Game,8.1
5,Whiplash,8.5
6,Captain America: The Winter Soldier,7.8
7,Kingsman: The Secret Service,7.7
8,Edge of Tomorrow,7.9
9,Fury,7.6
10,John Wick,7.2
11,X-Men: Days of Future Past,8.0
12,Ouija,4.4
13,The Grand Budapest Hotel,8.1
14,The Amazing Spider-Man 2,6.7
15,The Theory of Everything,7.7
16,The Equalizer,7.2
17,A Million Ways to Die in the West,6.1
18,The Maze Runner,6.8
19,Divergent,6.7
20,Big Eyes,7.0
21,Birdman or (The Unexpected Virtue of Ignorance),7.8
22,300: Rise of an Empire,6.2
23,The Lego Movie,7.8
24,The Hobbit: The Battle of the Five Armies,7.4
25,It Follows,6.9
26,Into the Woods,6.0
27,"Love, Rosie",7.2
28,American Sniper,7.3
29,Nightcrawler,7.9
30,Dawn of the Planet of the Apes,7.6
31,Lucy,6.4
32,The Babadook,6.8
33,Maleficent,7.0
34,Big Hero 6,7.9
35,The Giver,6.5
36,The Fault in Our Stars,7.8
37,The Purge: Anarchy,6.5
38,Sin City: A Dame to Kill For,6.5
39,Transformers: Age of Extinction,5.7
40,The Hunger Games: Mockingjay - Part 1,6.7
41,Teenage Mutant Ninja Turtles,5.9
42,This Is Where I Leave You,6.6
43,Hercules,6.0
44,Predestination,7.4
45,Godzilla,6.5
46,Unbroken,7.2
47,Boyhood,7.9
48,Neighbors,6.4
49,The Book of Life,7.3
50,Exodus: Gods and Kings,6.1
51,The Best of Me,6.7
52,The Expendables 3,6.1
53,Inherent Vice,6.7
54,The November Man,6.3
55,Dracula Untold,6.3
56,Tammy,4.9
57,What We Do in the Shadows,7.6
58,Non-Stop,7.0
59,Relatos salvajes,8.1
60,La belle et la bête,6.4
61,Vampire Academy,5.6
62,Chef,7.3
63,How to Train Your Dragon 2,7.9
64,Need for Speed,6.5
65,The Interview,6.6
66,I Origins,7.3
67,Blended,6.5
68,The Other Woman,6.0
69,Sex Tape,5.1
70,Before We Go,6.9
71,The Hundred-Foot Journey,7.3
72,Noah,5.8
73,Seventh Son,5.5
74,The Loft,6.3
75,If I Stay,6.8
76,22 Jump Street,7.1
77,Jack Ryan: Shadow Recruit,6.2
78,That Awkward Moment,6.2
79,The Judge,7.4
80,Girl House,5.5
81,Night at the Museum 3,6.2
82,Wild,7.1
83,Annie,5.3
84,Transcendence,6.3
85,The Salvation,6.8
86,The Drop,7.1
87,Taken 3,6.0
88,Horrible Bosses 2,6.3
89,Testament of Youth,7.3
90,St. Vincent,7.3
91,Winter's Tale,6.2
92,Deliver Us from Evil,6.2
93,Tusk,5.4
94,Selma,7.5
95,Let's Be Cops,6.5
96,Clown,5.7
97,Annabelle,5.4
98,The Water Diviner,7.1
99,The Voices,6.3
100,Foxcatcher,7.0
101,The Monuments Men,6.1
102,Step Up All In,6.0
103,"As Above, So Below",6.2
104,Still Alice,7.5
105,Stonehearst Asylum,6.8
106,Magic in the Moonlight,6.6
107,Unfriended,5.7
108,3 Days to Kill,6.2
109,Pompeii,5.6
110,In Your Eyes,7.1
111,A Brilliant Young Mind,7.2
112,Paddington,7.2
113,The Boxtrolls,6.8
114,Song of the Sea,8.2
115,Serena,5.4
116,Endless Love,6.3
117,Two Night Stand,6.4
118,Suite Française,6.9
119,Fasandræberne,7.1
120,Left Behind,3.1
121,Goodnight Mommy,6.7
122,Before I Go to Sleep,6.3
123,RoboCop,6.2
124,Wrong Turn 6: Last Resort,4.3
125,The Raid 2,8.0
126,Dumb and Dumber To,5.7
127,The Riot Club,6.0
128,Pride,7.8
129,A Walk Among the Tombstones,6.5
130,She's Funny That Way,6.2
131,Cake,6.4
132,99 Homes,7.1
133,The Captive,5.9
134,Mommy,8.1
135,The Cobbler,5.8
136,Time Lapse,6.5
137,A Most Violent Year,7.0
138,A Most Wanted Man,6.8
139,A Girl Walks Home Alone at Night,7.0
140,Penguins of Madagascar,6.7
141,The Gambler,6.0
142,Pawn Sacrifice,7.0
143,No Good Deed,5.6
144,Beyond the Lights,6.9
145,Laggies,6.4
146,Love & Mercy,7.4
147,"Men, Women & Children",6.7
148,Barefoot,6.6
149,Lost River,5.8
150,Jersey Boys,6.8
151,White Bird in a Blizzard,6.4
152,Who Am I - Kein System ist sicher,7.6
153,Kill the Messenger,7.0
154,Kite,4.4
155,Cold in July,6.8
156,Black Sea,6.4
157,Cooties,5.6
158,Frank,7.0
159,Into the Storm,5.8
160,Hector and the Search for Happiness,7.0
161,Ride Along,6.2
162,Escobar: Paradise Lost,6.6
163,The Homesman,6.6
164,"I, Frankenstein",5.1
165,Ask Me Anything,6.0
166,Son of a Gun,6.5
167,God's Not Dead,4.9
168,Creep,6.2
169,The Anomaly,4.8
170,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2
171,Behaving Badly,4.4
172,Twin Peaks: The Missing Pieces,8.3
173,The Dark Horse,7.6
174,The Signal,6.1
175,Kilo Two Bravo,7.1
176,Playing It Cool,6.0
177,Sabotage,5.7
178,Addicted,5.2
179,'71,7.2
180,Princess,6.0
181,The Taking of Deborah Logan,6.0
182,A Little Chaos,6.5
183,Don't Blink,4.8
184,Automata,6.1
185,La isla mínima,7.3
186,Maps to the Stars,6.2
187,Good Kill,6.4
188,Life After Beth,5.6
189,The Legend of Hercules,4.2
190,Veronica Mars,6.8
191,Calvary,7.4
192,The Pyramid,4.6
193,The Last Five Years,5.9
194,Burying the Ex,5.4
195,The Little Death,7.1
196,Clouds of Sils Maria,6.8
197,Rio 2,6.4
198,Saving Christmas,1.5
199,Lullaby,6.2
200,While We're Young,6.3
201,Top Five,6.5
202,Big Game,5.4
203,Honeytrap,5.6
204,You're Not You,7.4
205,Wolves,5.3
206,Rudderless,7.5
207,Honeymoon,5.6
208,El Niño,6.5
209,PK,8.2
210,5 to 7,7.1
211,Reasonable Doubt,5.7
212,Wish I Was Here,6.7
213,Brick Mansions,5.7
214,Search Party,5.6
215,Walk of Shame,6.0
216,Rage,5.0
217,The Prince,4.6
218,Draft Day,6.8
219,Outcast,4.6
220,Comet,6.7
221,Some Kind of Beautiful,5.8
222,Xi you ji: Da nao tian gong,4.8
223,Ocho apellidos vascos,6.6
224,Camp X-Ray,7.0
225,Everly,5.1
226,Trash,7.2
227,Queen & Country,6.3
228,Jessabelle,5.4
229,The Face of an Angel,4.6
230,Premature,5.8
231,Leviathan,7.6
232,Mr. Peabody & Sherman,6.9
233,Dying of the Light,4.4
234,Lap Dance,5.6
235,Stretch,6.5
236,Kill Me Three Times,5.9
237,Monsters: Dark Continent,4.3
238,The Skeleton Twins,6.8
239,The Nut Job,5.8
240,The Woman in Black 2: Angel of Death,4.9
241,Viy,5.4
242,Last Shift,5.7
243,Kis Uykusu,8.2
244,The Keeping Room,6.0
245,Dear White People,6.3
246,Housebound,6.8
247,American Heist,5.2
248,The Disappearance of Eleanor Rigby: Them,6.3
249,Moms' Night Out,5.4
250,The Two Faces of January,6.2
251,Shinya shokudô,7.2
252,Plemya,7.1
253,School Dance,4.6
254,Just Before I Go,6.4
255,Chaar Sahibzaade,8.6
256,The Forger,5.7
257,Starry Eyes,6.0
258,About Last Night,6.1
259,The Good Lie,7.4
260,Qu'est-ce qu'on a fait au Bon Dieu?,7.0
261,A Long Way Down,6.4
262,Zombeavers,4.8
263,Mr. Turner,6.8
264,Infinitely Polar Bear,7.0
265,Perfect Sisters,5.6
266,Free the Nipple,3.8
267,Northmen - A Viking Saga,5.3
268,The Inbetweeners 2,6.5
269,13 Sins,6.3
270,Omoide no Mânî,7.8
271,The Duke of Burgundy,6.7
272,Im Labyrinth des Schweigens,7.3
273,Madame Bovary,5.7
274,Shelter,6.4
275,Think Like a Man Too,5.7
276,"Deux jours, une nuit",7.4
277,What We Did on Our Holiday,6.9
278,The Angriest Man in Brooklyn,5.7
279,Grace of Monaco,5.7
280,Get on Up,6.9
281,A Haunted House 2,4.7
282,Black or White,6.6
283,Wildlike,6.6
284,Every Secret Thing,6.1
285,The Bag Man,5.3
286,They Came Together,5.5
