duration,gross,movie_title,budget,movie_facebook_likes
178,760505847,Avatar,237000000,33000
169,309404152,Pirates of the Caribbean: At World's End,300000000,0
148,200074175,Spectre,245000000,85000
164,448130642,The Dark Knight Rises,250000000,164000
,,Star Wars: Episode VII - The Force Awakens            ,,0
132,73058679,John Carter,263700000,24000
156,336530303,Spider-Man 3,258000000,0
100,200807262,Tangled,260000000,29000
141,458991599,Avengers: Age of Ultron,250000000,118000
153,301956980,Harry Potter and the Half-Blood Prince,250000000,10000
183,330249062,Batman v Superman: Dawn of Justice,250000000,197000
169,200069408,Superman Returns,209000000,0
106,168368427,Quantum of Solace,200000000,0
151,423032628,Pirates of the Caribbean: Dead Man's Chest,225000000,5000
150,89289910,The Lone Ranger,215000000,48000
143,291021565,Man of Steel,225000000,118000
150,141614023,The Chronicles of Narnia: Prince Caspian,225000000,0
173,623279547,The Avengers,220000000,123000
136,241063875,Pirates of the Caribbean: On Stranger Tides,250000000,58000
106,179020854,Men in Black 3,225000000,40000
164,255108370,The Hobbit: The Battle of the Five Armies,250000000,65000
153,262030663,The Amazing Spider-Man,230000000,56000
156,105219735,Robin Hood,200000000,17000
186,258355354,The Hobbit: The Desolation of Smaug,225000000,83000
113,70083519,The Golden Compass,180000000,0
201,218051260,King Kong,207000000,0
194,658672302,Titanic,200000000,26000
147,407197282,Captain America: Civil War,250000000,72000
131,65173160,Battleship,209000000,44000
124,652177271,Jurassic World,150000000,150000
143,304360277,Skyfall,200000000,80000
135,373377893,Spider-Man 2,200000000,0
195,408992272,Iron Man 3,200000000,95000
108,334185206,Alice in Wonderland,200000000,24000
104,234360014,X-Men: The Last Stand,210000000,0
104,268488329,Monsters University,200000000,44000
150,402076689,Transformers: Revenge of the Fallen,200000000,0
165,245428137,Transformers: Age of Extinction,210000000,56000
130,234903076,Oz the Great and Powerful,215000000,60000
142,202853933,The Amazing Spider-Man 2,200000000,41000
125,172051787,TRON: Legacy,170000000,30000
106,191450875,Cars 2,200000000,10000
123,116593191,Green Lantern,200000000,24000
103,414984497,Toy Story 3,200000000,30000
118,125320003,Terminator Salvation,200000000,0
140,350034110,Furious 7,190000000,94000
123,202351611,World War Z,190000000,129000
149,233914986,X-Men: Days of Future Past,200000000,82000
132,228756232,Star Trek Into Darkness,190000000,92000
114,65171860,Jack the Giant Slayer,195000000,22000
143,144812796,The Great Gatsby,105000000,115000
116,90755643,Prince of Persia: The Sands of Time,200000000,23000
131,101785482,Pacific Rim,190000000,83000
154,352358779,Transformers: Dark of the Moon,195000000,46000
122,317011114,Indiana Jones and the Kingdom of the Crystal Skull,185000000,5000
93,123070338,The Good Dinosaur,,20000
93,237282182,Brave,185000000,39000
122,130468626,Star Trek Beyond,185000000,30000
98,223806889,WALL·E,180000000,16000
91,140080850,Rush Hour 3,140000000,0
158,166112167,2012,200000000,13000
96,137850096,A Christmas Carol,200000000,0
127,47375327,Jupiter Ascending,176000000,44000
110,124051759,The Legend of Tarzan,180000000,29000
150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,0
144,154985087,X-Men: Apocalypse,178000000,54000
152,533316061,The Dark Knight,185000000,37000
96,292979556,Up,175000000,27000
94,198332128,Monsters vs. Aliens,175000000,0
126,318298180,Iron Man,140000000,10000
126,73820094,Hugo,170000000,42000
106,113745408,Wild Wild West,170000000,0
112,102176165,The Mummy: Tomb of the Dragon Emperor,145000000,0
123,161087183,Suicide Squad,175000000,80000
96,100289690,Evan Almighty,175000000,2000
113,100189501,Edge of Tomorrow,178000000,77000
176,88246220,Waterworld,175000000,0
118,150167630,G.I. Joe: The Rise of Cobra,175000000,0
95,356454367,Inside Out,175000000,118000
106,362645141,The Jungle Book,175000000,65000
124,312057433,Iron Man 2,200000000,18000
132,155111815,Snow White and the Huntsman,170000000,53000
97,241407328,Maleficent,180000000,89000
130,208543795,Dawn of the Planet of the Apes,170000000,45000
109,,The Lovers,,677
128,38297305,47 Ronin,175000000,35000
136,259746958,Captain America: The Winter Soldier,170000000,55000
93,238371987,Shrek Forever After,165000000,0
130,93417865,Tomorrowland,190000000,37000
102,222487711,Big Hero 6,165000000,41000
101,189412677,Wreck-It Ralph,165000000,40000
100,665426,The Polar Express,165000000,10000
120,102315545,Independence Day: Resurgence,165000000,67000
98,217387997,How to Train Your Dragon,165000000,33000
109,150350192,Terminator 3: Rise of the Machines,200000000,0
121,333130696,Guardians of the Galaxy,170000000,96000
169,187991439,Interstellar,165000000,349000
148,292568851,Inception,160000000,175000
120,,Godzilla Resurgence,,0
182,303001229,The Hobbit: An Unexpected Journey,180000000,166000
106,144512310,The Fast and the Furious,38000000,14000
166,127490802,The Curious Case of Benjamin Button,150000000,23000
132,146405371,X-Men: First Class,160000000,54000
137,281666058,The Hunger Games: Mockingjay - Part 2,160000000,38000
109,63143812,The Sorcerer's Apprentice,150000000,11000
98,60655503,Poseidon,160000000,0
113,76846624,Alice Through the Looking Glass,170000000,30000
93,320706665,Shrek the Third,160000000,0
123,46978995,Warcraft,160000000,89000
126,89732035,Terminator Genisys,155000000,82000
113,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,11000
184,198539855,Pearl Harbor,140000000,0
144,318759914,Transformers,150000000,8000
206,34293771,Alexander,155000000,0
138,292000866,Harry Potter and the Order of the Phoenix,150000000,0
157,289994397,Harry Potter and the Goblet of Fire,150000000,0
102,227946274,Hancock,150000000,0
104,256386216,I Am Legend,150000000,11000
115,206456431,Charlie and the Chocolate Factory,150000000,0
111,206435493,Ratatouille,150000000,10000
128,205343774,Batman Begins,150000000,15000
89,179982968,Madagascar: Escape 2 Africa,150000000,0
105,177243721,Night at the Museum: Battle of the Smithsonian,150000000,2000
119,179883016,X-Men Origins: Wolverine,150000000,0
129,139259759,The Matrix Revolutions,150000000,0
102,400736600,Frozen,150000000,58000
138,281492479,The Matrix Reloaded,150000000,0
112,206360018,Thor: The Dark World,170000000,63000
120,153629485,Mad Max: Fury Road,150000000,191000
146,133375846,Angels & Demons,150000000,0
115,181015141,Thor,150000000,63000
96,114053579,Bolt,150000000,0
88,119420252,G-Force,150000000,0
99,83640426,Wrath of the Titans,150000000,19000
113,79711678,Dark Shadows,100000000,82000
131,195000874,Mission: Impossible - Rogue Nation,150000000,47000
119,61937495,The Wolfman,150000000,0
110,124051759,The Legend of Tarzan,180000000,29000
91,126597121,Bee Movie,150000000,0
90,165230261,Kung Fu Panda 2,150000000,20000
103,131564731,The Last Airbender,150000000,18000
124,133382309,Mission: Impossible III,150000000,0
131,73103784,White House Down,150000000,33000
88,21379315,Mars Needs Moms,150000000,0
85,64459316,Flushed Away,149000000,0
111,34964818,Pan,150000000,24000
92,111505642,Mr. Peabody & Sherman,145000000,11000
196,133228348,Troy,175000000,0
93,216366733,Madagascar 3: Europe's Most Wanted,145000000,17000
133,160201106,Die Another Day,142000000,0
116,118099659,Ghostbusters,144000000,62000
153,201573391,Armageddon,140000000,11000
88,190418803,Men in Black II,140000000,2000
115,82161969,Beowulf,150000000,3000
95,143523463,Kung Fu Panda 3,145000000,24000
133,209364921,Mission: Impossible - Ghost Protocol,145000000,35000
97,103400692,Rise of the Guardians,145000000,25000
90,110332737,Fun with Dick and Jane,100000000,2000
154,111110575,The Last Samurai,140000000,0
150,65007045,Exodus: Gods and Kings,140000000,51000
127,257704099,Star Trek,150000000,19000
121,403706375,Spider-Man,139000000,5000
102,176997107,How to Train Your Dragon 2,145000000,46000
126,31141074,Gods of Egypt,140000000,24000
121,31704416,Stealth,135000000,0
215,107503316,Watchmen,130000000,18000
127,129734803,Lethal Weapon 4,140000000,0
138,132122995,Hulk,137000000,0
122,122512052,G.I. Joe: Retaliation,130000000,42000
124,68642452,Sahara,130000000,0
106,32131830,Final Fantasy: The Spirits Within,137000000,0
124,176636816,Captain America: The First Avenger,140000000,46000
128,126930660,The World Is Not Enough,135000000,2000
138,93926386,Master and Commander: The Far Side of the World,150000000,0
115,292298923,The Twilight Saga: Breaking Dawn - Part 2,120000000,65000
100,63992328,Happy Feet 2,135000000,0
135,134518390,The Incredible Hulk,150000000,0
60,,Miami Vice            ,1500000,0
117,52792307,The BFG,140000000,27000
156,183635922,The Revenant,135000000,190000
96,83024900,Turbo,135000000,13000
107,123207194,Rango,135000000,26000
92,83348920,Penguins of Madagascar,132000000,11000
115,227137090,The Bourne Ultimatum,110000000,0
92,215395021,Kung Fu Panda,130000000,6000
117,180191634,Ant-Man,130000000,61000
146,424645577,The Hunger Games: Catching Fire,130000000,82000
115,292298923,The Twilight Saga: Breaking Dawn - Part 2,120000000,65000
94,177343675,Home,135000000,26000
116,234277056,War of the Worlds,132000000,0
147,138396624,Bad Boys II,130000000,0
90,149234747,Puss in Boots,130000000,16000
101,118311368,Salt,110000000,23000
138,101160529,Noah,125000000,71000
107,77564037,The Adventures of Tintin,135000000,44000
142,249358727,Harry Potter and the Prisoner of Azkaban,130000000,11000
165,49551662,Australia,130000000,0
100,60522097,After Earth,130000000,37000
82,137748063,Dinosaur,127500000,0
,,Harry Potter and the Deathly Hallows: Part II,,40
98,113733726,Night at the Museum: Secret of the Tomb,127000000,11000
95,148337537,Megamind,130000000,13000
159,317557891,Harry Potter and the Sorcerer's Stone,125000000,16000
96,33592415,R.I.P.D.,130000000,20000
120,,Godzilla Resurgence,,0
143,305388685,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,10000
,,Harry Potter and the Deathly Hallows: Part I,,25
123,337103873,The Hunger Games: Mockingjay - Part 1,125000000,52000
174,217536138,The Da Vinci Code,125000000,0
101,131536019,Rio 2,103000000,0
134,214948780,X-Men 2,110000000,0
132,209805005,Fast Five,125000000,54000
129,186830669,Sherlock Holmes: A Game of Shadows,125000000,39000
106,163192114,Clash of the Titans,125000000,15000
113,119412921,Total Recall,65000000,0
102,32694788,The 13th Warrior,85000000,0
135,113165635,The Bourne Legacy,125000000,31000
125,107285004,Batman & Robin,125000000,0
110,260031035,How the Grinch Stole Christmas,123000000,0
124,186739919,The Day After Tomorrow,125000000,19000
123,215397307,Mission: Impossible II,125000000,0
130,182618434,The Perfect Storm,140000000,0
92,131920333,Fantastic 4: Rise of the Silver Surfer,130000000,0
127,124976634,Life of Pi,120000000,122000
123,115802596,Ghost Rider,110000000,0
123,108521835,Jason Bourne,120000000,31000
107,100685880,Charlie's Angels: Full Throttle,120000000,0
124,126464904,Prometheus,130000000,97000
77,64736114,Stuart Little 2,120000000,459
109,93050117,Elysium,115000000,61000
134,57637485,The Chronicles of Riddick,105000000,0
117,58607007,RoboCop,100000000,60000
135,43929341,Speed Racer,120000000,0
121,30212620,How Do You Know,120000000,0
117,76418654,Knight and Day,117000000,11000
124,89021735,Oblivion,120000000,71000
140,380262555,Star Wars: Episode III - Revenge of the Sith,113000000,10000
142,310675583,Star Wars: Episode II - Attack of the Clones,115000000,0
92,289907418,"Monsters, Inc.",115000000,0
138,132550960,The Wolverine,120000000,68000
136,474544677,Star Wars: Episode I - The Phantom Menace,115000000,13000
98,187165546,The Croods,135000000,28000
116,,Asterix at the Olympic Games,78000000,291
153,40911830,Windtalkers,115000000,0
120,47952020,The Huntsman: Winter's War,115000000,16000
101,190871240,Teenage Mutant Ninja Turtles,125000000,62000
91,274084951,Gravity,100000000,147000
108,67155742,Dante's Peak,116000000,0
112,81638674,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,12000
100,56114221,Fantastic Four,120000000,41000
108,250863268,Night at the Museum,110000000,3000
114,155181732,San Andreas,110000000,52000
119,125332007,Tomorrow Never Dies,110000000,0
142,113330342,The Patriot,110000000,4000
