,Name,Rating
0,Argo ,96
1,Skyfall ,93
2,Marvel's The Avengers ,92
3,Moonrise Kingdom ,94
4,Looper ,93
5,Jiro Dreams of Sushi ,99
6,The Cabin in the Woods ,92
7,Wake in Fright ,100
8,How to Survive a Plague ,99
9,The Invisible War ,99
10,This Is Not a Film ,98
11,Monsieur Lazhar ,97
12,Silver Linings Playbook ,92
13,Amour ,93
14,The Kid with a Bike ,96
15,The Sessions ,93
16,The Secret World of Arrietty ,95
17,West of Memphis ,96
18,"Oslo, August 31st ",98
19,The Dark Knight Rises ,87
20,Lincoln ,90
21,Ai Weiwei: Never Sorry ,97
22,Beware Of Mr. Baker ,98
23,Mea Maxima Culpa: Silence In The House Of God ,98
24,The Island President ,98
25,Undefeated ,96
26,The Loved Ones ,98
27,The Imposter ,95
28,Marley ,95
29,Searching for Sugar Man ,94
30,Chasing Ice ,96
31,The Queen of Versailles ,94
32,Brooklyn Castle ,96
33,Django Unchained ,88
34,Sister ,95
35,5 Broken Cameras ,95
36,I Wish ,94
37,Marina Abramovic: The Artist Is Present ,95
38,Diana Vreeland: The Eye Has To Travel ,94
39,Holy Motors ,91
40,The House I Live In ,94
41,Life of Pi ,87
42,Barbara ,93
43,First Position ,93
44,The Central Park Five ,93
45,Headhunters ,92
46,Safety Not Guaranteed ,90
47,Elena ,93
48,The Hunger Games ,84
49,The Master ,86
50,"Farewell, My Queen ",92
51,Bernie ,89
52,Frankenweenie ,87
53,Once Upon a Time in Anatolia ,92
54,"Turn Me On, Dammit! ",93
55,"Electric Boogaloo: The Wild, Untold Story of Cannon Films ",93
56,Side by Side ,92
57,Compliance ,89
58,ParaNorman ,87
59,Footnote ,90
60,Beasts of the Southern Wild ,86
61,21 Jump Street ,85
62,A Royal Affair ,89
63,Wreck-it Ralph ,86
64,Keep the Lights On ,90
65,Arbitrage ,86
66,In Darkness ,88
67,The Perks of Being a Wallflower ,86
68,End of Watch ,85
69,The Pirates! Band of Misfits ,86
70,Chronicle ,85
71,Robot & Frank ,86
72,The Raid: Redemption ,85
73,Neil Young Journeys ,88
74,Polisse ,87
75,The Turin Horse ,88
76,Seven Psychopaths ,82
77,Starlet ,88
78,The Big Picture ,88
79,Tabu ,87
80,Bully ,84
81,Middle of Nowhere ,87
82,Boy ,86
83,Chico & Rita ,86
84,Miss Bala ,86
85,The Impossible ,81
86,Sleepwalk With Me ,84
87,Your Sister's Sister ,83
88,De rouille et d'os ,82
89,Smashed ,84
90,Magic Mike ,80
91,Declaration of War ,86
92,Snabba cash ,85
93,Rundskop ,85
94,The Forgiveness of Blood ,85
95,Haywire ,80
96,Brave ,78
97,Flight ,78
98,Goon ,82
99,Pitch Perfect ,80
