,Name,Score
0,Gravity ,96
1,12 Years a Slave ,96
2,Before Midnight ,98
3,Short Term 12 ,99
4,Mud ,98
5,Her ,95
6,Inside Llewyn Davis ,94
7,Dallas Buyers Club ,94
8,American Hustle ,93
9,20 Feet From Stardom ,99
10,Wadjda ,99
11,Captain Phillips ,93
12,All Is Lost ,94
13,Blackfish ,98
14,Enough Said ,96
15,Zero Dark Thirty ,92
16,The Square ,100
17,Fruitvale Station ,94
18,Sound City ,100
19,The Act Of Killing ,96
20,56 Up ,98
21,Nebraska ,91
22,The Selfish Giant ,97
23,Call Me Kuchu ,98
24,The Hunger Games: Catching Fire ,89
25,Let The Fire Burn ,98
26,Frances Ha ,93
27,A Hijacking ,95
28,Muscle Shoals ,96
29,Blue Jasmine ,91
30,Stories We Tell ,94
31,The Spectacular Now ,93
32,Philomena ,92
33,The Hunt ,94
34,Room 237 ,94
35,Cutie And The Boxer ,96
36,Behind the Candelabra ,95
37,Le passé ,93
38,Lore ,94
39,Blancanieves ,94
40,Frozen ,89
41,I Am Divine ,96
42,The World's End ,89
43,Blue Is The Warmest Color ,91
44,No ,93
45,The Crash Reel ,96
46,Rush ,89
47,War Witch ,95
48,The Gatekeepers ,93
49,Star Trek Into Darkness ,86
50,In a World... ,92
51,Museum Hours ,94
52,The Sapphires ,91
53,After Tiller ,94
54,A Touch of Sin ,93
55,Drug War ,94
56,A Band Called Death ,94
57,The Great Beauty ,91
58,Still Mine ,93
59,We Steal Secrets: The Story Of Wikileaks ,92
60,Our Children ,93
61,Mother Of George ,93
62,Gimme The Loot ,92
63,The Conjuring ,86
64,Beyond The Hills ,90
65,Caesar Must Die ,91
66,Inequality For All ,90
67,A Place at the Table ,90
68,In the House ,89
69,The Way Way Back ,85
70,The Angels' Share ,88
71,This Is the End ,83
72,Side Effects ,83
73,The Punk Singer ,89
74,What Maisie Knew ,87
75,Iron Man 3 ,79
76,My Brother The Devil ,89
77,Fill the Void ,88
78,Hannah Arendt ,88
79,Upstream Color ,85
80,Prisoners ,81
81,Much Ado About Nothing ,84
82,Computer Chess ,87
83,Sightseers ,86
84,Narco Cultura ,88
85,We Are What We Are ,86
86,Happy People: A Year in the Taiga ,87
87,Don Jon ,81
88,The Patience Stone ,86
89,The Place Beyond The Pines ,80
90,The Attack ,86
91,At Berkeley ,86
92,Kon Tiki ,85
93,Berberian Sound Studio ,84
94,Saving Mr. Banks ,78
95,Yossi ,86
96,Warm Bodies ,80
97,The Armstrong Lie ,83
98,Drinking Buddies ,83
99,The Wolf of Wall Street ,77
